latitude_bin,time,pH,year
-70,11.0,8.05260390998934,2014
-70,12.0,8.06796617828211,2014
-60,1.0,8.082956940939768,2014
-60,2.0,8.077084219597616,2014
-60,3.0,8.0732919244362,2014
-60,4.0,8.050445752130537,2014
-60,5.0,8.046293493653623,2014
-60,6.0,8.044483663193882,2014
-60,7.0,8.04357492181018,2014
-60,8.0,8.043581496229107,2014
-60,9.0,8.048360114087073,2014
-60,10.0,8.051207388875776,2014
-60,11.0,8.060030825143793,2014
-60,12.0,8.073181170824881,2014
-50,1.0,8.069821391358506,2014
-50,2.0,8.067960196813612,2014
-50,3.0,8.066592573668913,2014
-50,4.0,8.060492208865792,2014
-50,5.0,8.040667152148165,2014
-50,6.0,8.037621896046073,2014
-50,7.0,8.035862180422585,2014
-50,8.0,8.043215869672121,2014
-50,9.0,8.05150729598967,2014
-50,10.0,8.053525132415398,2014
-50,11.0,8.062437798416779,2014
-50,12.0,8.070459167383165,2014
-40,1.0,8.079944197979751,2014
-40,2.0,8.078941792162043,2014
-40,3.0,8.077268046371806,2014
-40,4.0,8.07595504910356,2014
-40,5.0,8.071331986809625,2014
-40,6.0,8.065575637413913,2014
-40,7.0,8.062433089785593,2014
-40,8.0,8.063541133050066,2014
-40,9.0,8.062962453317281,2014
-40,10.0,8.06849849784067,2014
-40,11.0,8.075817419895518,2014
-40,12.0,8.080899790961798,2014
-30,1.0,8.061986518371691,2014
-30,2.0,8.059025767041266,2014
-30,3.0,8.063628194175317,2014
-30,4.0,8.0732111830317,2014
-30,5.0,8.08327119063267,2014
-30,6.0,8.08798906099916,2014
-30,7.0,8.089417916357911,2014
-30,8.0,8.090938360231915,2014
-30,9.0,8.090184315544912,2014
-30,10.0,8.090903028114282,2014
-30,11.0,8.082485762066888,2014
-30,12.0,8.068880200220839,2014
-20,1.0,8.050732252852695,2014
-20,2.0,8.04917445493359,2014
-20,3.0,8.05361223364951,2014
-20,4.0,8.06286940300839,2014
-20,5.0,8.071982094890831,2014
-20,6.0,8.082037075519079,2014
-20,7.0,8.086272017639923,2014
-20,8.0,8.089832592954398,2014
-20,9.0,8.089850242480788,2014
-20,10.0,8.081505198983045,2014
-20,11.0,8.069663627023447,2014
-20,12.0,8.05951063259889,2014
-10,1.0,8.052843890507427,2014
-10,2.0,8.051315859412965,2014
-10,3.0,8.050052077209363,2014
-10,4.0,8.054040542296953,2014
-10,5.0,8.058905946811217,2014
-10,6.0,8.063905697886835,2014
-10,7.0,8.06680944941346,2014
-10,8.0,8.06846779767972,2014
-10,9.0,8.069721740550591,2014
-10,10.0,8.065560232921019,2014
-10,11.0,8.060434331014319,2014
-10,12.0,8.055021196220755,2014
0,1.0,8.026682556757684,2014
0,2.0,8.028420672607828,2014
0,3.0,8.025853419890934,2014
0,4.0,8.027203292683065,2014
0,5.0,8.027798112474953,2014
0,6.0,8.029557791717911,2014
0,7.0,8.029226659513723,2014
0,8.0,8.029445216759,2014
0,9.0,8.029337776566235,2014
0,10.0,8.028876206497142,2014
0,11.0,8.027977640550812,2014
0,12.0,8.029613380535626,2014
10,1.0,8.047786832683569,2014
10,2.0,8.046431362508809,2014
10,3.0,8.045080627400072,2014
10,4.0,8.041042296602614,2014
10,5.0,8.040495624136332,2014
10,6.0,8.042953616750355,2014
10,7.0,8.045789680853062,2014
10,8.0,8.047471771607965,2014
10,9.0,8.048936341694583,2014
10,10.0,8.05065497584114,2014
10,11.0,8.051766862041438,2014
10,12.0,8.051761317749717,2014
20,1.0,8.068151705318101,2014
20,2.0,8.070886379982841,2014
20,3.0,8.068775094260761,2014
20,4.0,8.06213457343663,2014
20,5.0,8.05304478216456,2014
20,6.0,8.047270993461938,2014
20,7.0,8.048601911509783,2014
20,8.0,8.04796745141182,2014
20,9.0,8.048358495583601,2014
20,10.0,8.05004426227729,2014
20,11.0,8.055439268804415,2014
20,12.0,8.062152692386729,2014
30,1.0,8.089801786680304,2014
30,2.0,8.092231528238885,2014
30,3.0,8.091992191228337,2014
30,4.0,8.084614591038674,2014
30,5.0,8.070220867011985,2014
30,6.0,8.053731973849644,2014
30,7.0,8.041715430628123,2014
30,8.0,8.03684550564471,2014
30,9.0,8.036590155543156,2014
30,10.0,8.048295019733043,2014
30,11.0,8.065404904448098,2014
30,12.0,8.08009888348803,2014
40,1.0,8.098577186351147,2014
40,2.0,8.098476620515886,2014
40,3.0,8.099698880144082,2014
40,4.0,8.099925402522016,2014
40,5.0,8.088678935340788,2014
40,6.0,8.068288986393421,2014
40,7.0,8.042586525263527,2014
40,8.0,8.027939329842521,2014
40,9.0,8.0377609347834,2014
40,10.0,8.06299967201269,2014
40,11.0,8.084524540944447,2014
40,12.0,8.09675101492687,2014
50,1.0,8.068571458401602,2014
50,2.0,8.063335150791174,2014
50,3.0,8.064397607326041,2014
50,4.0,8.076951315543292,2014
50,5.0,8.084940642021449,2014
50,6.0,8.08399974793558,2014
50,7.0,8.073218807875437,2014
50,8.0,8.06598457411226,2014
50,9.0,8.07229508486563,2014
50,10.0,8.082668184339866,2014
50,11.0,8.081827402418675,2014
50,12.0,8.072577782006277,2014
60,1.0,8.055871431656218,2014
60,2.0,8.060069816339968,2014
60,3.0,8.060348747125843,2014
60,4.0,8.069870641839781,2014
60,5.0,8.104270207385278,2014
60,6.0,8.117446490956766,2014
60,7.0,8.118696229624156,2014
60,8.0,8.11531042235966,2014
60,9.0,8.112486177892404,2014
60,10.0,8.09559886566799,2014
60,11.0,8.072748073545203,2014
60,12.0,8.060620997197015,2014
70,1.0,8.078547071933244,2014
70,2.0,8.079000676660563,2014
70,3.0,8.08076669775786,2014
70,4.0,8.094630830548606,2014
70,5.0,8.14020796105153,2014
70,6.0,8.155764428309492,2014
70,7.0,8.152340453481866,2014
70,8.0,8.142079300762427,2014
70,9.0,8.1323148789342,2014
70,10.0,8.111754098202638,2014
70,11.0,8.094614906899261,2014
70,12.0,8.07940405884964,2014
80,1.0,8.083612969858503,2014
80,2.0,8.084346629378645,2014
80,3.0,8.088048735951453,2014
80,4.0,8.094614930356872,2014
80,5.0,8.11954708503876,2014
80,6.0,8.140675974173535,2014
80,7.0,8.140473156245156,2014
80,8.0,8.130710454602633,2014
80,9.0,8.11816463596079,2014
80,10.0,8.109004474536349,2014
80,11.0,8.105587712067322,2014
80,12.0,8.100617752297088,2014
-80,1.0,,2015
-80,2.0,,2015
-80,3.0,,2015
-80,4.0,,2015
-80,5.0,,2015
-80,6.0,,2015
-80,7.0,,2015
-80,8.0,,2015
-80,9.0,,2015
-80,10.0,,2015
-80,11.0,,2015
-80,12.0,,2015
-70,1.0,8.078816171436275,2015
-70,2.0,8.084285761938988,2015
-70,3.0,8.068209652583262,2015
-70,4.0,8.054983396299123,2015
-70,5.0,8.051911170115654,2015
-70,6.0,8.049960101400746,2015
-70,7.0,8.0524373059873,2015
-70,8.0,8.051078736438015,2015
-70,9.0,8.050688006822865,2015
-70,10.0,8.04837542087788,2015
-70,11.0,8.055567378792272,2015
-70,12.0,8.076870182888845,2015
-60,1.0,8.080581131259368,2015
-60,2.0,8.07860329003376,2015
-60,3.0,8.07257670653016,2015
-60,4.0,8.04970012364839,2015
-60,5.0,8.046473422049575,2015
-60,6.0,8.044312462654966,2015
-60,7.0,8.043233732122307,2015
-60,8.0,8.042703674343796,2015
-60,9.0,8.04730088732028,2015
-60,10.0,8.050142575125268,2015
-60,11.0,8.058469107059159,2015
-60,12.0,8.07705314850291,2015
-50,1.0,8.069786395038157,2015
-50,2.0,8.066710614642771,2015
-50,3.0,8.063679770894455,2015
-50,4.0,8.057479644198514,2015
-50,5.0,8.038976337880628,2015
-50,6.0,8.035259512006869,2015
-50,7.0,8.033271119528242,2015
-50,8.0,8.03964656108401,2015
-50,9.0,8.048874384569666,2015
-50,10.0,8.052098924704314,2015
-50,11.0,8.059946357398267,2015
-50,12.0,8.070488564281076,2015
-40,1.0,8.076067072138772,2015
-40,2.0,8.076364641277685,2015
-40,3.0,8.077524032977886,2015
-40,4.0,8.075469915603543,2015
-40,5.0,8.069481629502308,2015
-40,6.0,8.063465941599874,2015
-40,7.0,8.060061623809842,2015
-40,8.0,8.060566900690057,2015
-40,9.0,8.060679541189232,2015
-40,10.0,8.064803308989033,2015
-40,11.0,8.074482118129966,2015
-40,12.0,8.079345402691436,2015
-30,1.0,8.05843981607279,2015
-30,2.0,8.055959114499432,2015
-30,3.0,8.061750872439628,2015
-30,4.0,8.07280871502346,2015
-30,5.0,8.082961808524088,2015
-30,6.0,8.088049485855274,2015
-30,7.0,8.089417238899062,2015
-30,8.0,8.09003081024887,2015
-30,9.0,8.089615928857972,2015
-30,10.0,8.088625558947154,2015
-30,11.0,8.079955669421768,2015
-30,12.0,8.068299298179081,2015
-20,1.0,8.048486843096512,2015
-20,2.0,8.047196620016406,2015
-20,3.0,8.050083440274431,2015
-20,4.0,8.058456055655716,2015
-20,5.0,8.069791657194308,2015
-20,6.0,8.07999830516271,2015
-20,7.0,8.085379778523782,2015
-20,8.0,8.089338874021724,2015
-20,9.0,8.087280330599253,2015
-20,10.0,8.0788161345231,2015
-20,11.0,8.067722650390168,2015
-20,12.0,8.054488192817896,2015
-10,1.0,8.050376217204844,2015
-10,2.0,8.049812561851148,2015
-10,3.0,8.049133237817994,2015
-10,4.0,8.05197231218984,2015
-10,5.0,8.058158251971195,2015
-10,6.0,8.062756757266744,2015
-10,7.0,8.066157795598556,2015
-10,8.0,8.06806373544252,2015
-10,9.0,8.067200715826228,2015
-10,10.0,8.064250822602864,2015
-10,11.0,8.059036770871709,2015
-10,12.0,8.051579307697176,2015
0,1.0,8.029403171500157,2015
0,2.0,8.02887826826832,2015
